iter	Passed	Remaining
127	270509	1842848
128	272569	1840375
129	274472	1836855
130	276750	1835848
131	278758	1833046
132	281227	1833262
133	283299	1830875
134	285205	1827425
135	287425	1825999
136	289532	1823843
137	291607	1821489
138	293545	1818289
139	295627	1815996
140	297752	1813968
141	299855	1811802
142	301836	1808909
143	303643	1804994
144	305871	1803587
145	307878	1800876
146	309968	1798663
147	311938	1795752
148	313998	1793373
149	315941	1790335
150	318392	1790164
151	320324	1787074
152	322261	1784020
153	324534	1782833
154	326527	1780104
155	328539	1777482
156	330596	1775114
157	332534	1772113
158	334602	1769816
159	336742	1767897
160	339089	1767058
161	341293	1765456
162	343324	1762962
163	345430	1760854
164	347452	1758322
165	349480	1755824
166	351412	1752853
167	353410	1750225
168	355553	1748313
169	357414	1745023
170	359801	1744298
171	361929	1742313
172	364029	1740185
173	366229	1738539
174	368319	1736365
175	370434	1734305
176	372723	1733058
177	374722	1730460
178	376919	1728775
179	378873	1725980
180	380859	1723336
181	382845	1720701
182	384601	1717046
183	386692	1714897
184	388779	1712732
185	390890	1710670
186	392971	1708482
187	394949	1705843
188	396909	1703142
189	399051	1701219
190	400949	1698262
191	402957	1695779
192	405154	1694093
193	407082	1691282
194	409079	1688762
195	411190	1686720
196	413200	1684264
197	415210	1681811
198	417229	1679400
199	419328	1677315
200	421246	1674506
201	423285	1672185
202	425369	1670048
203	427456	1667916
204	429598	1666004
205	431540	1663315
206	433626	1661187
207	435669	1658895
208	437807	1656964
209	439872	1654758
210	441866	1652289
211	443957	1650182
212	446310	1649042
213	448320	1646634
214	450341	1644271
215	452325	1641773
216	454445	1639772
217	456517	1637601
218	458516	1635165
219	460437	1632461
220	462327	1629651
221	464309	1627173
222	466252	1624564
223	468251	1622157
224	470340	1620060
225	472621	1618622
226	474362	1615341
227	476531	1613519
228	478643	1611503
229	480799	1609633
230	482941	1607713
231	484978	1605445
232	487022	1603202
233	489381	1601991
234	491463	1599870
235	493491	1597573
236	495594	1595520
237	498081	1594696
238	500091	1592342
239	502209	1590330
240	504210	1587948
241	506217	1585590
242	508340	1583596
243	510436	1581516
244	512754	1580120
245	514788	1577847
246	516835	1575617
247	519057	1573916
248	521346	1572413
249	523662	1570986
250	525779	1568959
251	527962	1567126
252	530042	1564985
253	532479	1563896
254	534561	1561756
255	536579	1559432
256	538614	1557160
257	540789	1555292
258	542669	1552580
259	544660	1550186
260	546588	1547619
261	548707	1545595
262	550593	1542917
263	552643	1540702
264	554655	1538384
265	556925	1536778
266	558999	1534632
267	560817	1531786
268	562763	1529295
269	564782	1527004
270	566730	1524525
271	568740	1522218
272	570755	1519924
273	572638	1517281
274	574406	1514345
275	576283	1511701
276	578209	1509189
277	580304	1507120
278	582318	1504843
279	584271	1502413
280	586224	1499983
281	588300	1497870
282	590383	1495776
283	592278	1493209
284	594229	1490787
285	596412	1488945
286	598404	1486627
287	600578	1484762
288	602700	1482768
289	604809	1480740
290	606484	1477654
291	608174	1474614
292	610280	1472587
293	612206	1470127
294	614168	1467758
295	616259	1465697
296	618334	1463600
297	620262	1461155
298	622261	1458880
299	624408	1456953
300	627699	1457680
301	629856	1455760
302	632117	1454079
303	635685	1455385
304	639205	1456549
305	641822	1455637
306	643806	1453282
307	645886	1451148
308	648091	1449291
309	650270	1447376
310	652312	1445154
311	654259	1442725
312	656212	1440313
313	659427	1440661
314	661445	1438381
315	663685	1436585
316	665756	1434421
317	667893	1432400
318	669893	1430085
319	671817	1427612
320	673716	1425089
321	675679	1422704
322	677713	1420470
323	679539	1417803
324	681408	1415234
325	683318	1412750
326	685241	1410298
327	687149	1407818
328	689977	1407218
329	692125	1405224
330	694079	1402837
331	696007	1400400
332	698042	1398181
333	699978	1395766
334	702218	1393955
335	704114	1391464
336	705937	1388833
337	707932	1386541
338	711319	1386968
339	713382	1384800
340	715316	1382385
341	717403	1380268
342	719338	1377857
343	721269	1375444
344	723200	1373032
345	725190	1370735
346	727530	1369099
347	729578	1366912
348	731697	1364857
349	733580	1362364
350	735531	1360000
351	737767	1358163
352	739769	1355895
353	741786	1353655
354	743716	1351259
355	745614	1348807
356	747421	1346195
357	749553	1344172
358	751639	1342063
359	753507	1339569
360	755218	1336799
361	757187	1334490
362	759179	1332223
363	761285	1330158
364	763226	1327805
365	765137	1325402
366	767101	1323093
367	769014	1320698
368	770913	1318282
369	773847	1317632
370	775807	1315317
371	777702	1312895
372	780650	1312246
373	782564	1309853
374	784783	1307972
375	786855	1305845
376	788858	1303604
377	790837	1301325
378	792603	1298698
379	794984	1297079
380	796955	1294791
381	798906	1292472
382	800585	1289715
383	802531	1287394
384	804470	1285063
385	806333	1282613
386	808156	1280102
387	810180	1277913
388	812049	1275481
389	814334	1273702
390	816408	1271592
391	818380	1269324
392	820391	1267118
393	822393	1264900
394	824336	1262590
395	826291	1260302
396	828397	1258245
397	830333	1255931
398	832306	1253674
399	834282	1251423
400	836303	1249241
401	838339	1247081
402	840416	1244983
403	842497	1242893
404	844558	1240771
405	846470	1238432
406	848366	1236072
407	850403	1233918
408	852637	1232050
409	854595	1229783
410	856754	1227807
411	858417	1225119
412	860418	1222918
413	862385	1220671
414	864218	1218235
415	866198	1216009
416	868136	1213726
417	869975	1211306
418	872287	1209543
419	874074	1207055
420	875924	1204655
421	877905	1202438
422	880004	1200384
423	881915	1198074
424	883724	1195627
425	885792	1193532
426	887715	1191243
427	889684	1189017
428	891742	1186910
429	893736	1184720
430	895787	1182605
431	898703	1181628
432	900649	1179372
433	903707	1178567
434	905702	1176371
435	907684	1174161
436	909744	1172051
437	911698	1169805
438	913569	1167454
439	915387	1165038
440	917288	1162730
441	919174	1160405
442	920985	1157988
443	922893	1155695
444	924807	1153411
445	926766	1151185
446	928594	1148798
447	930418	1146408
448	932305	1144099
449	934327	1141956
450	936203	1139636
451	938148	1137401
452	940048	1135114
453	942067	1132971
454	943742	1130416
455	945638	1128129
456	947196	1125443
457	949121	1123196
458	950945	1120830
459	952913	1118637
460	955001	1116585
461	957072	1114512
462	959197	1112503
463	961189	1110339
464	963141	1108130
465	965069	1105895
466	966982	1103644
467	969038	1101556
468	971062	1099432
469	972954	1097161
470	974903	1094955
471	976958	1092868
472	978964	1090728
473	980907	1088517
474	982785	1086236
475	984915	1084234
476	987471	1082699
477	990688	1081881
478	992670	1079710
479	994584	1077466
480	996625	1075360
481	998624	1073210
482	1001502	1072001
483	1003326	1069662
484	1005228	1067407
485	1007114	1065137
486	1009073	1062945
487	1010907	1060623
488	1012877	1058446
489	1014973	1056400
490	1016904	1054184
491	1018787	1051918
492	1020772	1049759
493	1022792	1047637
494	1024797	1045500
495	1026787	1043348
496	1028656	1041075
497	1030535	1038812
498	1033727	1037870
499	1035734	1035734
500	1037718	1033576
501	1039637	1031353
502	1041636	1029211
503	1043849	1027280
504	1045855	1025145
505	1047915	1023064
506	1049616	1020633
507	1051571	1018450
508	1053633	1016373
509	1055665	1014266
510	1057616	1012082
511	1059574	1009907
512	1061444	1007648
513	1063351	1005425
514	1065346	1003287
515	1067341	1001149
516	1069046	998741
517	1071006	996573
518	1073140	994567
519	1075123	992422
520	1077002	990180
521	1078803	987870
522	1080820	985757
523	1082622	983450
524	1084611	981315
525	1086670	979243
526	1088609	977063
527	1090621	974949
528	1092752	972941
529	1094636	970715
530	1096618	968576
531	1098641	966474
532	1100678	964384
533	1102691	962274
534	1104461	959952
535	1106573	957928
536	1108671	955893
537	1110751	953842
538	1112711	951688
539	1114777	949625
540	1116833	947553
541	1118978	945557
542	1121035	943486
543	1123521	941775
544	1125617	939735
545	1127662	937653
546	1129956	935777
547	1132014	933705
548	1134477	931966
549	1136809	930117
550	1139059	928199
551	1141481	926419
552	1143495	924307
553	1145700	922351
554	1147858	920355
555	1149699	918105
556	1151608	915911
557	1153632	913809
558	1155591	911656
559	1157547	909501
560	1159563	907394
561	1161592	905298
562	1163585	903173
563	1165567	901041
564	1167576	898930
565	1169444	896712
566	1171449	894598
567	1173420	892460
568	1175573	890460
569	1177581	888350
570	1179511	886183
571	1181455	884026
572	1183329	881818
573	1185230	879631
574	1187325	877588
575	1189177	875366
576	1191161	873242
577	1193244	871192
578	1195185	869038
579	1197146	866898
580	1199232	864850
581	1201113	862655
582	1203039	860493
583	1205136	858453
584	1207168	856367
585	1209265	854327
586	1211378	852298
587	1213275	850118
588	1215233	847981
589	1217219	845864
590	1219162	843717
591	1221024	841516
592	1223201	839532
593	1225256	837465
594	1227274	835371
595	1229276	833268
596	1231231	831132
597	1233087	828931
598	1235066	826813
599	1236928	824618
600	1238840	822457
601	1240824	820346
602	1242766	818205
603	1244751	816095
604	1246720	813974
605	1248632	811817
606	1250519	809644
607	1252427	807486
608	1254132	805198
609	1255958	802990
610	1258663	801341
611	1260580	799191
612	1263413	797619
613	1265508	795580
614	1267653	793571
615	1269657	791474
616	1271596	789337
617	1273677	787289
618	1275841	785291
619	1277891	783223
620	1279985	781182
621	1282436	779358
622	1284794	777475
623	1287075	775545
624	1289279	773567
625	1291486	771590
626	1294400	770033
627	1296323	767885
628	1298304	765772
629	1300307	763672
630	1303493	762264
631	1305625	760237
632	1307796	758232
633	1309846	756157
634	1311722	753982
635	1313974	752023
636	1315978	749921
637	1317973	747815
638	1319953	745701
639	1321589	743394
640	1323494	741239
641	1325421	739098
642	1327330	736947
643	1329293	734827
644	1331152	732649
645	1333130	730538
646	1335407	728591
647	1337790	726701
648	1339803	724608
649	1341762	722487
650	1343798	720408
651	1345920	718374
652	1347960	716297
653	1350097	714271
654	1352073	712160
655	1353995	710022
656	1355844	707845
657	1357787	705719
658	1360964	704231
659	1363265	702288
660	1365341	700227
661	1367349	698132
662	1370793	696768
663	1373027	694784
664	1375142	692741
665	1377264	690700
666	1379238	688585
667	1381376	686552
668	1383420	684472
669	1385411	682367
670	1387428	680274
671	1389411	678165
672	1391646	676179
673	1393647	674078
674	1395613	671962
675	1397990	670042
676	1400245	668064
677	1402494	666081
678	1404550	664006
679	1406455	661861
680	1408641	659848
681	1410801	657822
682	1412935	655784
683	1415049	653736
684	1417502	651844
685	1419578	649778
686	1421926	647835
687	1424332	645918
688	1426694	643979
689	1429155	642084
690	1431384	640083
691	1433986	638248
692	1436238	636255
693	1438522	634276
694	1440468	632147
695	1442650	630123
696	1444778	628074
697	1446621	625902
698	1448518	623754
699	1450963	621841
700	1453067	619781
701	1455041	617667
702	1458254	616076
703	1460522	614083
704	1462881	612127
705	1465003	610072
706	1466875	607912
707	1468861	605801
708	1471069	603781
709	1473368	601798
710	1475533	599759
711	1477618	597688
712	1479679	595607
713	1481782	593543
714	1483703	591406
715	1486765	589722
716	1488789	587625
717	1490839	585538
718	1492879	583448
719	1494786	581305
720	1496677	579158
721	1498637	577037
722	1500658	574941
723	1502669	572840
724	1505026	570872
725	1507087	568790
726	1509062	566676
727	1511247	564641
728	1513438	562608
729	1515562	560550
730	1517672	558487
731	1519773	556419
732	1521753	554308
733	1523867	552246
734	1525872	550144
735	1527982	548080
736	1530237	546068
737	1532219	543958
738	1534066	541801
739	1535999	539675
740	1538177	537635
741	1540212	535545
742	1542441	533522
743	1544794	531542
744	1546869	529465
745	1548897	527372
746	1550940	525285
747	1553165	523258
748	1555036	521113
749	1557045	519015
750	1559065	516920
751	1561087	514826
752	1563156	512748
753	1565086	510625
754	1567074	508520
755	1569046	506411
756	1570931	504275
757	1572976	502190
758	1575141	500143
759	1577524	498165
760	1579708	496123
761	1582010	494118
762	1584209	492080
763	1586470	490061
764	1588726	488040
765	1590778	485955
766	1592892	483890
767	1595120	481859
768	1596650	479618
769	1598611	477507
770	1600785	475460
771	1602759	473353
772	1604771	471258
773	1606506	469083
774	1608450	466969
775	1610356	464845
776	1612371	462752
777	1614378	460658
778	1616322	458545
779	1618267	456434
780	1620156	454307
781	1623199	452503
782	1625102	450379
783	1627105	448284
784	1629036	446169
785	1630964	444053
786	1632941	441952
787	1634852	439833
788	1636775	437718
789	1638431	435532
790	1640238	433387
791	1642186	431281
792	1644115	429170
793	1646213	427103
794	1648281	425028
795	1650331	422949
796	1652294	420847
797	1654273	418750
798	1656142	416626
799	1659101	414775
800	1660999	412657
801	1663059	410580
802	1665269	408540
803	1667244	406442
804	1669251	404352
805	1671185	402245
806	1673212	400161
807	1675112	398046
808	1677079	395948
809	1679097	393862
810	1681137	391781
811	1683056	389673
812	1685054	387583
813	1686985	385478
814	1689065	383407
815	1691006	381305
816	1692823	379175
817	1694738	377068
818	1696763	374986
819	1698724	372890
820	1700629	370782
821	1702637	368697
822	1705019	366693
823	1707484	364705
824	1709595	362641
825	1711802	360597
826	1713818	358513
827	1715754	356412
828	1717928	354361
829	1720077	352305
830	1722455	350294
831	1725209	348359
832	1727225	346274
833	1729699	344280
834	1731981	342247
835	1734059	340174
836	1736021	338078
837	1738105	336006
838	1741139	334116
839	1743161	332030
840	1745188	329946
841	1747207	327860
842	1749282	325785
843	1751413	323721
844	1753408	321631
845	1755335	319529
846	1757266	317428
847	1759122	315314
848	1761202	313240
849	1763463	311199
850	1765442	309107
851	1767495	307029
852	1769720	304981
853	1771828	302912
854	1773815	300822
855	1775664	298709
856	1777968	296673
857	1779995	294591
858	1781902	292489
859	1783994	290417
860	1786188	288362
861	1788136	286267
862	1790065	284170
863	1792119	282092
864	1794309	280036
865	1796206	277934
866	1798233	275853
867	1800231	273767
868	1802342	271699
869	1804551	269645
870	1806826	267601
871	1808733	265502
872	1810758	263420
873	1812714	261329
874	1814684	259240
875	1816718	257161
876	1818734	255079
877	1820718	252992
878	1822663	250901
879	1824691	248821
880	1826619	246728
881	1828740	244661
882	1830625	242563
883	1832624	240480
884	1834613	238396
885	1836564	236307
886	1838564	234225
887	1840686	232158
888	1842737	230083
889	1844623	227987
890	1846544	225895
891	1848548	223815
892	1850459	221723
893	1852503	219648
894	1854485	217565
895	1856657	215504
896	1858577	213415
897	1860699	211348
898	1863001	209302
899	1864783	207198
900	1866579	205095
901	1868430	203000
902	1870395	200917
903	1872298	198828
904	1874414	196761
905	1876816	194724
906	1878904	192655
907	1880935	190579
908	1882719	188479
909	1884785	186407
910	1886820	184332
911	1889022	182274
912	1890905	180184
913	1893942	178204
914	1895989	176130
915	1897977	174050
916	1900907	172055
917	1902893	169975
918	1904583	167868
919	1906528	165785
920	1908527	163706
921	1911413	161703
922	1913312	159615
923	1915435	157546
924	1917486	155471
925	1919452	153390
926	1921425	151309
927	1923339	149224
928	1925231	147138
929	1927260	145062
930	1929290	142987
931	1931243	140906
932	1933395	138839
933	1935455	136766
934	1937441	134688
935	1939268	132599
936	1941091	130510
937	1943029	128430
938	1944966	126350
939	1947048	124279
940	1948971	122199
941	1951135	120133
942	1953219	118063
943	1956117	116040
944	1957918	113952
945	1959787	111869
946	1961506	109778
947	1963161	107683
948	1965145	105608
949	1967090	103531
950	1969048	101454
951	1971044	99380
952	1973038	97306
953	1975001	95230
954	1976949	93154
955	1978891	91078
956	1980789	89001
957	1982760	86926
958	1984782	84855
959	1986594	82774
960	1988505	80698
961	1990447	78624
962	1992351	76549
963	1994453	74481
964	1996652	72417
965	1998579	70343
966	2000525	68270
967	2002431	66196
968	2004420	64124
969	2006076	62043
970	2007950	59969
971	2009919	57898
972	2011844	55827
973	2013767	53755
974	2015675	51683
975	2017657	49614
976	2019611	47544
977	2021572	45475
978	2023476	43404
979	2025370	41334
980	2026972	39258
981	2028972	37190
982	2030930	35122
983	2033082	33058
984	2035502	30997
985	2037558	28930
986	2039555	26863
987	2041518	24795
988	2043395	22727
989	2045517	20661
990	2047559	18595
991	2049567	16528
992	2051630	14462
993	2053708	12396
994	2055661	10329
995	2057625	8263
996	2060031	6198
997	2062086	4132
998	2064128	2066
999	2066227	0
