iter	Logloss	Accuracy
0	0.4790523736	0.968171504
1	0.3441892625	0.9690972105
2	0.25974478	0.9696165092
3	0.2102067696	0.9697564941
4	0.175717678	0.9705173796
5	0.1482636671	0.9707950915
6	0.1309140927	0.9709441077
7	0.1194726015	0.9716282273
8	0.1125037285	0.9728497082
9	0.1067043799	0.9733780382
10	0.1020813325	0.9740260327
11	0.09866305945	0.9745701674
12	0.09627627748	0.9749675438
13	0.09441051594	0.9751865524
14	0.09197771056	0.9755500615
15	0.0899825135	0.9759135706
16	0.08875219321	0.9761370949
17	0.08792506438	0.9763628769
18	0.08691064209	0.9765073774
19	0.08599416729	0.9766880031
20	0.08517598823	0.9769341055
21	0.08459533581	0.977078606
22	0.08343117156	0.977381154
23	0.08277909181	0.9775956469
24	0.0822760936	0.9777672413
25	0.08190137842	0.9778801323
26	0.08144937345	0.9779410935
27	0.08082062937	0.9782075163
28	0.08035326513	0.9783633059
29	0.0799290181	0.9784942595
30	0.07958510549	0.9786116662
31	0.07933806207	0.9786658539
32	0.07905427845	0.9787493932
33	0.07868033161	0.9788216435
34	0.0782909761	0.9789593705
35	0.07768842757	0.9790203317
36	0.07733552176	0.9792122464
37	0.07704694753	0.9792912701
38	0.07683137169	0.9793544891
39	0.07663022503	0.979406419
40	0.07627650861	0.9794786692
41	0.07606174569	0.9795757555
42	0.07585154093	0.9796276854
43	0.07538142739	0.9797563812
44	0.07521332249	0.9798399205
45	0.07506773964	0.9798557253
46	0.07473160395	0.9799144286
47	0.07448515991	0.9799550694
48	0.07423122718	0.9800160305
49	0.07416187639	0.980022804
50	0.07401678163	0.9800657026
51	0.07367117097	0.980135695
52	0.07358652153	0.980198914
53	0.07346883093	0.9802350391
54	0.07341523283	0.9802553595
55	0.07323365963	0.9802689064
56	0.07299518013	0.9803343832
57	0.07249920156	0.9804337273
58	0.07241016042	0.9804405008
59	0.07225456033	0.980487915
60	0.07211554295	0.9805150089
61	0.07199824071	0.9805308136
62	0.07191194611	0.9805556496
63	0.07179444773	0.980614353
64	0.07169969055	0.9806572516
65	0.07158649498	0.9806572516
66	0.07140762943	0.9807362753
67	0.07126804151	0.980840135
68	0.07112767047	0.9808491663
69	0.07104384483	0.980878518
70	0.07091528815	0.9809078696
71	0.07080298841	0.980903354
72	0.07067752418	0.9809214166
73	0.07066707795	0.9809146431
74	0.07057595404	0.9809394791
75	0.07044998519	0.9809891512
76	0.07042957477	0.9809936668
77	0.07040096737	0.9810049559
78	0.07026018104	0.9810297919
79	0.07023827832	0.9810320498
80	0.07016672784	0.9810478545
81	0.0700360803	0.9811020422
82	0.06987020225	0.9811110735
83	0.06975263526	0.9811697768
84	0.06971741352	0.9811765503
85	0.06965373133	0.9812036441
86	0.06962266708	0.981217191
87	0.06943794248	0.9813007304
88	0.06934486523	0.9813323399
89	0.06930688494	0.9813323399
90	0.06928328248	0.9813391134
91	0.0690323813	0.9813842698
92	0.06890278852	0.9814091058
93	0.06881517779	0.9814271684
94	0.0687473326	0.9814249105
95	0.06862988508	0.9815219968
96	0.06848053623	0.9815536063
97	0.06843777583	0.9815987627
98	0.06839086029	0.9816168253
99	0.06836427509	0.9816303722
100	0.06827985445	0.9816235987
101	0.06808244855	0.9817093959
102	0.0680296539	0.9817184272
103	0.06798661727	0.9817432632
104	0.06796941975	0.9817500367
105	0.06794406577	0.9817568102
106	0.06783785221	0.9817793884
107	0.0678088058	0.9817906775
108	0.06776504569	0.9818042244
109	0.06773331624	0.9818132557
110	0.0676935349	0.9818155135
111	0.06764154143	0.9818132557
112	0.06757822092	0.9818222869
113	0.06756527727	0.9818426073
114	0.06751723835	0.9818651855
115	0.06747902271	0.9818674434
116	0.0674502922	0.9818651855
117	0.06734474406	0.9819103419
118	0.06730169187	0.9819396936
119	0.06722464473	0.9819622718
120	0.06716368474	0.9819803344
121	0.06713352067	0.9819758187
122	0.06708109869	0.9819871078
123	0.06707077542	0.9819871078
124	0.06704461817	0.9819916235
125	0.06696222474	0.9820503268
126	0.06694742061	0.9820548425
127	0.0669374567	0.9820616159
128	0.06687222763	0.9820503268
129	0.06685157716	0.9820571003
130	0.06682389557	0.9820390377
131	0.06679500976	0.982048069
132	0.06673784106	0.9820954832
133	0.06666891439	0.9820887098
134	0.06664207737	0.9821067723
135	0.06661236465	0.9820909676
136	0.06657942061	0.982111288
137	0.06649698548	0.9821180614
138	0.06648416226	0.9821316084
139	0.06642476561	0.9821677335
140	0.06636768608	0.9821767648
141	0.06634900813	0.9821790226
142	0.06633223227	0.982199343
143	0.06626270608	0.9822535307
144	0.06613958901	0.9822783667
145	0.0661081634	0.9822941714
146	0.06608846288	0.9823009449
147	0.06607875486	0.9823032027
148	0.06606561981	0.9823099762
149	0.06605708109	0.9823212653
150	0.06597238043	0.982312234
151	0.06595733786	0.9823077184
152	0.06594416757	0.9823054605
153	0.06578341288	0.9823686795
154	0.06575067148	0.9824070625
155	0.0657306166	0.9824183516
156	0.06570352133	0.9824070625
157	0.06566108531	0.9823980312
158	0.06561666524	0.9824048046
159	0.0655815411	0.9824454454
160	0.0655514742	0.9824499611
161	0.06550538383	0.9824725393
162	0.06548473155	0.9824928596
163	0.06545400566	0.9825018909
164	0.0653614336	0.9825176957
165	0.06529225454	0.9825583364
166	0.06527995803	0.9825538208
167	0.06526376342	0.9825651099
168	0.06512655381	0.9825854303
169	0.06511869958	0.9825854303
170	0.0650621972	0.9825967194
171	0.06494368792	0.9826441336
172	0.06492396068	0.9826418758
173	0.06489600286	0.9826780009
174	0.06487097205	0.9826780009
175	0.06482307919	0.9826734853
176	0.06480071615	0.9826960635
177	0.06479316811	0.9826915478
178	0.06475377708	0.9827118682
179	0.06469393878	0.9827163839
180	0.06465836216	0.982752509
181	0.0646539319	0.9827570246
182	0.06460232304	0.9827750872
183	0.06456577523	0.9827863763
184	0.06452845176	0.9827931498
185	0.06448208829	0.9828089545
186	0.06442901126	0.9827999232
187	0.06438667968	0.9828089545
188	0.0643596463	0.9828112123
189	0.06433153283	0.9828360484
190	0.0643156818	0.9828315327
191	0.06430346771	0.9828450796
192	0.06424794265	0.9828518531
193	0.06423548613	0.9828766891
194	0.0642292729	0.9828766891
195	0.06419081151	0.9828766891
196	0.0641696357	0.9828902361
197	0.06414603247	0.9828992673
198	0.0641312953	0.9829015252
199	0.0641158572	0.9829082986
200	0.06411108383	0.9829060408
201	0.06406191599	0.982928619
202	0.06403301017	0.9829399081
203	0.06401508902	0.9829331346
204	0.06395590331	0.9829511972
205	0.06392584836	0.9829828067
206	0.06389098631	0.9829805489
207	0.06387601767	0.9829895802
208	0.06384864913	0.9829986114
209	0.06383226827	0.9829805489
210	0.06380494113	0.9829828067
